0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
"(0, 0.0012998638)","(1, 0.0012998638)","(2, 0.0012998638)","(3, 0.0012998638)","(4, 0.0012998638)","(5, 0.0012998638)","(6, 0.0012998638)","(7, 0.0012998638)","(8, 0.0012998638)","(9, 0.0012998638)","(10, 0.0012998638)","(11, 0.0012998638)","(12, 0.0012998638)","(13, 0.0012998638)","(14, 0.50956875)","(15, 0.0012998638)","(16, 0.0012998638)","(17, 0.0012998638)","(18, 0.0012998638)","(19, 0.0012998638)","(20, 0.0012998638)","(21, 0.0012998638)","(22, 0.0012998638)","(23, 0.0012998638)","(24, 0.0012998638)","(25, 0.0012998638)","(26, 0.0012998638)","(27, 0.0012998638)","(28, 0.0012998638)","(29, 0.0012998638)","(30, 0.0012998638)","(31, 0.44753572)","(32, 0.0012998638)","(33, 0.0012998638)","(34, 0.0012998638)"
"(0, 0.0011442233)","(1, 0.16278532)","(2, 0.0011442233)","(3, 0.0011442233)","(4, 0.0011442233)","(5, 0.0011442233)","(6, 0.0011442233)","(7, 0.0011442233)","(8, 0.0011442233)","(9, 0.0011442233)","(10, 0.0011442233)","(11, 0.0011442233)","(12, 0.0011442233)","(13, 0.0011442233)","(14, 0.4494451)","(15, 0.0011442233)","(16, 0.0011442233)","(17, 0.0011442233)","(18, 0.0011442233)","(19, 0.0011442233)","(20, 0.12471619)","(21, 0.0011442233)","(22, 0.0011442233)","(23, 0.0011442233)","(24, 0.0011442233)","(25, 0.0011442233)","(26, 0.0011442233)","(27, 0.0011442233)","(28, 0.0011442233)","(29, 0.0011442233)","(30, 0.0011442233)","(31, 0.22758251)","(32, 0.0011442233)","(33, 0.0011442233)","(34, 0.0011442233)"
"(0, 0.26478225)","(1, 0.00095860916)","(2, 0.00095860916)","(3, 0.00095860916)","(4, 0.00095860916)","(5, 0.00095860916)","(6, 0.04405749)","(7, 0.00095860916)","(8, 0.00095860916)","(9, 0.00095860916)","(10, 0.00095860916)","(11, 0.10736038)","(12, 0.00095860916)","(13, 0.00095860916)","(14, 0.21061045)","(15, 0.00095860916)","(16, 0.00095860916)","(17, 0.00095860916)","(18, 0.00095860916)","(19, 0.00095860916)","(20, 0.00095860916)","(21, 0.00095860916)","(22, 0.00095860916)","(23, 0.00095860916)","(24, 0.00095860916)","(25, 0.00095860916)","(26, 0.00095860916)","(27, 0.00095860916)","(28, 0.2154456)","(29, 0.00095860916)","(30, 0.00095860916)","(31, 0.12994416)","(32, 0.00095860916)","(33, 0.00095860916)","(34, 0.00095860916)"
"(0, 0.0013630497)","(1, 0.0013630497)","(2, 0.17093872)","(3, 0.0013630497)","(4, 0.0013630497)","(5, 0.0013630497)","(6, 0.33359078)","(7, 0.0013630497)","(8, 0.0013630497)","(9, 0.0013630497)","(10, 0.0013630497)","(11, 0.0013630497)","(12, 0.0013630497)","(13, 0.0013630497)","(14, 0.0013630497)","(15, 0.0013630497)","(16, 0.0013630497)","(17, 0.0013630497)","(18, 0.0013630497)","(19, 0.0013630497)","(20, 0.0013630497)","(21, 0.0013630497)","(22, 0.0013630497)","(23, 0.0013630497)","(24, 0.0013630497)","(25, 0.0013630497)","(26, 0.0013630497)","(27, 0.0013630497)","(28, 0.23605663)","(29, 0.0013630497)","(30, 0.0013630497)","(31, 0.0013630497)","(32, 0.0013630497)","(33, 0.2171593)","(34, 0.0013630497)"
"(0, 0.0012537154)","(1, 0.0012537154)","(2, 0.0012537154)","(3, 0.0012537154)","(4, 0.0012537154)","(5, 0.0012537154)","(6, 0.0012537154)","(7, 0.0012537154)","(8, 0.0012537154)","(9, 0.0012537154)","(10, 0.0012537154)","(11, 0.0012537154)","(12, 0.0012537154)","(13, 0.0012537154)","(14, 0.56639916)","(15, 0.0012537154)","(16, 0.0012537154)","(17, 0.0012537154)","(18, 0.0012537154)","(19, 0.0012537154)","(20, 0.0012537154)","(21, 0.0012537154)","(22, 0.0012537154)","(23, 0.0012537154)","(24, 0.0012537154)","(25, 0.0012537154)","(26, 0.0012537154)","(27, 0.13577819)","(28, 0.25770372)","(29, 0.0012537154)","(30, 0.0012537154)","(31, 0.0012537154)","(32, 0.0012537154)","(33, 0.0012537154)","(34, 0.0012537154)"
"(0, 0.47419548)","(1, 0.0012998192)","(2, 0.0012998192)","(3, 0.0012998192)","(4, 0.0012998192)","(5, 0.0012998192)","(6, 0.0012998192)","(7, 0.0012998192)","(8, 0.0012998192)","(9, 0.0012998192)","(10, 0.0012998192)","(11, 0.0012998192)","(12, 0.0012998192)","(13, 0.0012998192)","(14, 0.38901836)","(15, 0.0012998192)","(16, 0.0012998192)","(17, 0.0012998192)","(18, 0.0012998192)","(19, 0.0012998192)","(20, 0.0012998192)","(21, 0.0012998192)","(22, 0.0012998192)","(23, 0.0012998192)","(24, 0.0012998192)","(25, 0.0012998192)","(26, 0.0012998192)","(27, 0.0012998192)","(28, 0.0012998192)","(29, 0.0012998192)","(30, 0.0012998192)","(31, 0.09519192)","(32, 0.0012998192)","(33, 0.0012998192)","(34, 0.0012998192)"
"(0, 0.0011441828)","(1, 0.0011441828)","(2, 0.0011441828)","(3, 0.0011441828)","(4, 0.0011441828)","(5, 0.0011441828)","(6, 0.0011441828)","(7, 0.0011441828)","(8, 0.0011441828)","(9, 0.0011441828)","(10, 0.0011441828)","(11, 0.0011441828)","(12, 0.0011441828)","(13, 0.0011441828)","(14, 0.48388293)","(15, 0.0011441828)","(16, 0.0011441828)","(17, 0.0011441828)","(18, 0.0011441828)","(19, 0.0011441828)","(20, 0.0011441828)","(21, 0.0011441828)","(22, 0.14114332)","(23, 0.0011441828)","(24, 0.0011441828)","(25, 0.0011441828)","(26, 0.0011441828)","(27, 0.0011441828)","(28, 0.0011441828)","(29, 0.0011441828)","(30, 0.0011441828)","(31, 0.3383599)","(32, 0.0011441828)","(33, 0.0011441828)","(34, 0.0011441828)"
"(0, 0.19067168)","(1, 0.0011447981)","(2, 0.04408711)","(3, 0.0011447981)","(4, 0.0011447981)","(5, 0.0011447981)","(6, 0.0011447981)","(7, 0.0011447981)","(8, 0.0011447981)","(9, 0.0011447981)","(10, 0.0011447981)","(11, 0.0011447981)","(12, 0.0011447981)","(13, 0.0011447981)","(14, 0.4095246)","(15, 0.0011447981)","(16, 0.19593434)","(17, 0.0011447981)","(18, 0.0011447981)","(19, 0.0011447981)","(20, 0.0011447981)","(21, 0.0011447981)","(22, 0.0011447981)","(23, 0.0011447981)","(24, 0.0011447981)","(25, 0.0011447981)","(26, 0.0011447981)","(27, 0.0011447981)","(28, 0.12543835)","(29, 0.0011447981)","(30, 0.0011447981)","(31, 0.0011447981)","(32, 0.0011447981)","(33, 0.0011447981)","(34, 0.0011447981)"
"(0, 0.0013745921)","(1, 0.0013745921)","(2, 0.06490696)","(3, 0.0013745921)","(4, 0.0013745921)","(5, 0.0013745921)","(6, 0.16004682)","(7, 0.0013745921)","(8, 0.0013745921)","(9, 0.0013745921)","(10, 0.0013745921)","(11, 0.0013745921)","(12, 0.0013745921)","(13, 0.0013745921)","(14, 0.43057835)","(15, 0.0013745921)","(16, 0.0013745921)","(17, 0.0013745921)","(18, 0.08591026)","(19, 0.0013745921)","(20, 0.0013745921)","(21, 0.0013745921)","(22, 0.0013745921)","(23, 0.0013745921)","(24, 0.0013745921)","(25, 0.0013745921)","(26, 0.0013745921)","(27, 0.0013745921)","(28, 0.0013745921)","(29, 0.0013745921)","(30, 0.0013745921)","(31, 0.103297584)","(32, 0.0013745921)","(33, 0.1153969)","(34, 0.0013745921)"
"(0, 0.43960768)","(1, 0.14176807)","(2, 0.0012452202)","(3, 0.0012452202)","(4, 0.0012452202)","(5, 0.0012452202)","(6, 0.0012452202)","(7, 0.0012452202)","(8, 0.0012452202)","(9, 0.0012452202)","(10, 0.0012452202)","(11, 0.0012452202)","(12, 0.0012452202)","(13, 0.0012452202)","(14, 0.35321882)","(15, 0.0012452202)","(16, 0.0012452202)","(17, 0.0012452202)","(18, 0.0012452202)","(19, 0.0012452202)","(20, 0.0012452202)","(21, 0.0012452202)","(22, 0.0012452202)","(23, 0.0012452202)","(24, 0.0012452202)","(25, 0.0012452202)","(26, 0.0012452202)","(27, 0.0012452202)","(28, 0.0012452202)","(29, 0.0012452202)","(30, 0.0012452202)","(31, 0.026803622)","(32, 0.0012452202)","(33, 0.0012452202)","(34, 0.0012452202)"
